instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
273,9/30/2011,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202
274,10/1/2011,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,480,1949,2429
275,10/2/2011,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,616,2302,2918
276,10/3/2011,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,330,3240,3570
277,10/4/2011,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,486,3970,4456
278,10/5/2011,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826
279,10/6/2011,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765
280,10/7/2011,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985
281,10/8/2011,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409
282,10/9/2011,4,0,10,0,0,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511
283,10/10/2011,4,0,10,1,1,0,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117
284,10/11/2011,4,0,10,0,2,1,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563
285,10/12/2011,4,0,10,0,3,1,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416
286,10/13/2011,4,0,10,0,4,1,2,0.589167,0.551804,0.896667,0.141787,290,2623,2913
287,10/14/2011,4,0,10,0,5,1,2,0.550833,0.529675,0.71625,0.223883,529,3115,3644
288,10/15/2011,4,0,10,0,6,0,1,0.506667,0.498725,0.483333,0.258083,1899,3318,5217
289,10/16/2011,4,0,10,0,0,0,1,0.511667,0.503154,0.486667,0.281717,1748,3293,5041
290,10/17/2011,4,0,10,0,1,1,1,0.534167,0.510725,0.579583,0.175379,713,3857,4570
291,10/18/2011,4,0,10,0,2,1,2,0.5325,0.522721,0.701667,0.110087,637,4111,4748
292,10/19/2011,4,0,10,0,3,1,3,0.541739,0.513848,0.895217,0.243339,254,2170,2424
293,10/20/2011,4,0,10,0,4,1,1,0.475833,0.466525,0.63625,0.422275,471,3724,4195
294,10/21/2011,4,0,10,0,5,1,1,0.4275,0.423596,0.574167,0.221396,676,3628,4304
295,10/22/2011,4,0,10,0,6,0,1,0.4225,0.425492,0.629167,0.0926667,1499,2809,4308
296,10/23/2011,4,0,10,0,0,0,1,0.421667,0.422333,0.74125,0.0995125,1619,2762,4381
297,10/24/2011,4,0,10,0,1,1,1,0.463333,0.457067,0.772083,0.118792,699,3488,4187
298,10/25/2011,4,0,10,0,2,1,1,0.471667,0.463375,0.622917,0.166658,695,3992,4687
299,10/26/2011,4,0,10,0,3,1,2,0.484167,0.472846,0.720417,0.148642,404,3490,3894
300,10/27/2011,4,0,10,0,4,1,2,0.47,0.457046,0.812917,0.197763,240,2419,2659
301,10/28/2011,4,0,10,0,5,1,2,0.330833,0.318812,0.585833,0.229479,456,3291,3747
302,10/29/2011,4,0,10,0,6,0,3,0.254167,0.227913,0.8825,0.351371,57,570,627
303,10/30/2011,4,0,10,0,0,0,1,0.319167,0.321329,0.62375,0.176617,885,2446,3331
304,10/31/2011,4,0,10,0,1,1,1,0.34,0.356063,0.703333,0.10635,362,3307,3669
305,11/1/2011,4,0,11,0,2,1,1,0.400833,0.397088,0.68375,0.135571,410,3658,4068
306,11/2/2011,4,0,11,0,3,1,1,0.3775,0.390133,0.71875,0.0820917,370,3816,4186
307,11/3/2011,4,0,11,0,4,1,1,0.408333,0.405921,0.702083,0.136817,318,3656,3974
308,11/4/2011,4,0,11,0,5,1,2,0.403333,0.403392,0.6225,0.271779,470,3576,4046
309,11/5/2011,4,0,11,0,6,0,1,0.326667,0.323854,0.519167,0.189062,1156,2770,3926
310,11/6/2011,4,0,11,0,0,0,1,0.348333,0.362358,0.734583,0.0920542,952,2697,3649
311,11/7/2011,4,0,11,0,1,1,1,0.395,0.400871,0.75875,0.057225,373,3662,4035
312,11/8/2011,4,0,11,0,2,1,1,0.408333,0.412246,0.721667,0.0690375,376,3829,4205
313,11/9/2011,4,0,11,0,3,1,1,0.4,0.409079,0.758333,0.0621958,305,3804,4109
314,11/10/2011,4,0,11,0,4,1,2,0.38,0.373721,0.813333,0.189067,190,2743,2933
315,11/11/2011,4,0,11,1,5,0,1,0.324167,0.306817,0.44625,0.314675,440,2928,3368
316,11/12/2011,4,0,11,0,6,0,1,0.356667,0.357942,0.552917,0.212062,1275,2792,4067
317,11/13/2011,4,0,11,0,0,0,1,0.440833,0.43055,0.458333,0.281721,1004,2713,3717
318,11/14/2011,4,0,11,0,1,1,1,0.53,0.524612,0.587083,0.306596,595,3891,4486
319,11/15/2011,4,0,11,0,2,1,2,0.53,0.507579,0.68875,0.199633,449,3746,4195
320,11/16/2011,4,0,11,0,3,1,3,0.456667,0.451988,0.93,0.136829,145,1672,1817
321,11/17/2011,4,0,11,0,4,1,2,0.341667,0.323221,0.575833,0.305362,139,2914,3053
322,11/18/2011,4,0,11,0,5,1,1,0.274167,0.272721,0.41,0.168533,245,3147,3392
323,11/19/2011,4,0,11,0,6,0,1,0.329167,0.324483,0.502083,0.224496,943,2720,3663
324,11/20/2011,4,0,11,0,0,0,2,0.463333,0.457058,0.684583,0.18595,787,2733,3520
325,11/21/2011,4,0,11,0,1,1,3,0.4475,0.445062,0.91,0.138054,220,2545,2765
326,11/22/2011,4,0,11,0,2,1,3,0.416667,0.421696,0.9625,0.118792,69,1538,1607
327,11/23/2011,4,0,11,0,3,1,2,0.440833,0.430537,0.757917,0.335825,112,2454,2566
328,11/24/2011,4,0,11,1,4,0,1,0.373333,0.372471,0.549167,0.167304,560,935,1495
329,11/25/2011,4,0,11,0,5,1,1,0.375,0.380671,0.64375,0.0988958,1095,1697,2792
330,11/26/2011,4,0,11,0,6,0,1,0.375833,0.385087,0.681667,0.0684208,1249,1819,3068
331,11/27/2011,4,0,11,0,0,0,1,0.459167,0.4558,0.698333,0.208954,810,2261,3071
332,11/28/2011,4,0,11,0,1,1,1,0.503478,0.490122,0.743043,0.142122,253,3614,3867
333,11/29/2011,4,0,11,0,2,1,2,0.458333,0.451375,0.830833,0.258092,96,2818,2914
334,11/30/2011,4,0,11,0,3,1,1,0.325,0.311221,0.613333,0.271158,188,3425,3613
335,12/1/2011,4,0,12,0,4,1,1,0.3125,0.305554,0.524583,0.220158,182,3545,3727
336,12/2/2011,4,0,12,0,5,1,1,0.314167,0.331433,0.625833,0.100754,268,3672,3940
337,12/3/2011,4,0,12,0,6,0,1,0.299167,0.310604,0.612917,0.0957833,706,2908,3614
338,12/4/2011,4,0,12,0,0,0,1,0.330833,0.3491,0.775833,0.0839583,634,2851,3485
339,12/5/2011,4,0,12,0,1,1,2,0.385833,0.393925,0.827083,0.0622083,233,3578,3811
340,12/6/2011,4,0,12,0,2,1,3,0.4625,0.4564,0.949583,0.232583,126,2468,2594
341,12/7/2011,4,0,12,0,3,1,3,0.41,0.400246,0.970417,0.266175,50,655,705
342,12/8/2011,4,0,12,0,4,1,1,0.265833,0.256938,0.58,0.240058,150,3172,3322
343,12/9/2011,4,0,12,0,5,1,1,0.290833,0.317542,0.695833,0.0827167,261,3359,3620
344,12/10/2011,4,0,12,0,6,0,1,0.275,0.266412,0.5075,0.233221,502,2688,3190
345,12/11/2011,4,0,12,0,0,0,1,0.220833,0.253154,0.49,0.0665417,377,2366,2743
346,12/12/2011,4,0,12,0,1,1,1,0.238333,0.270196,0.670833,0.06345,143,3167,3310
347,12/13/2011,4,0,12,0,2,1,1,0.2825,0.301138,0.59,0.14055,155,3368,3523
348,12/14/2011,4,0,12,0,3,1,2,0.3175,0.338362,0.66375,0.0609583,178,3562,3740
349,12/15/2011,4,0,12,0,4,1,2,0.4225,0.412237,0.634167,0.268042,181,3528,3709
350,12/16/2011,4,0,12,0,5,1,2,0.375,0.359825,0.500417,0.260575,178,3399,3577
351,12/17/2011,4,0,12,0,6,0,2,0.258333,0.249371,0.560833,0.243167,275,2464,2739
352,12/18/2011,4,0,12,0,0,0,1,0.238333,0.245579,0.58625,0.169779,220,2211,2431
353,12/19/2011,4,0,12,0,1,1,1,0.276667,0.280933,0.6375,0.172896,260,3143,3403
354,12/20/2011,4,0,12,0,2,1,2,0.385833,0.396454,0.595417,0.0615708,216,3534,3750
355,12/21/2011,1,0,12,0,3,1,2,0.428333,0.428017,0.858333,0.2214,107,2553,2660
356,12/22/2011,1,0,12,0,4,1,2,0.423333,0.426121,0.7575,0.047275,227,2841,3068
357,12/23/2011,1,0,12,0,5,1,1,0.373333,0.377513,0.68625,0.274246,163,2046,2209
358,12/24/2011,1,0,12,0,6,0,1,0.3025,0.299242,0.5425,0.190304,155,856,1011
359,12/25/2011,1,0,12,0,0,0,1,0.274783,0.279961,0.681304,0.155091,303,451,754
360,12/26/2011,1,0,12,1,1,0,1,0.321739,0.315535,0.506957,0.239465,430,887,1317
361,12/27/2011,1,0,12,0,2,1,2,0.325,0.327633,0.7625,0.18845,103,1059,1162
362,12/28/2011,1,0,12,0,3,1,1,0.29913,0.279974,0.503913,0.293961,255,2047,2302
363,12/29/2011,1,0,12,0,4,1,1,0.248333,0.263892,0.574167,0.119412,254,2169,2423
364,12/30/2011,1,0,12,0,5,1,1,0.311667,0.318812,0.636667,0.134337,491,2508,2999
365,12/31/2011,1,0,12,0,6,0,1,0.41,0.414121,0.615833,0.220154,665,1820,2485
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
