instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1316,2/25/2012,1,1,2,1,0,6,0,1,0.34,0.303,0.42,0.3582,4,42,46
1317,2/25/2012,1,1,2,2,0,6,0,1,0.32,0.303,0.45,0.2537,1,37,38
1318,2/25/2012,1,1,2,3,0,6,0,1,0.3,0.2727,0.45,0.2985,0,7,7
1319,2/25/2012,1,1,2,4,0,6,0,1,0.3,0.2727,0.42,0.3284,0,2,2
1320,2/25/2012,1,1,2,5,0,6,0,2,0.3,0.2727,0.42,0.2985,0,3,3
1321,2/25/2012,1,1,2,6,0,6,0,2,0.3,0.2727,0.42,0.2985,1,12,13
1322,2/25/2012,1,1,2,7,0,6,0,1,0.28,0.2424,0.45,0.4478,3,20,23
1323,2/25/2012,1,1,2,8,0,6,0,1,0.26,0.2273,0.48,0.2985,3,90,93
1324,2/25/2012,1,1,2,9,0,6,0,3,0.22,0.197,0.75,0.3284,15,107,122
1325,2/25/2012,1,1,2,10,0,6,0,1,0.26,0.2273,0.6,0.3582,24,159,183
1326,2/25/2012,1,1,2,11,0,6,0,1,0.3,0.2576,0.39,0.6119,23,187,210
1327,2/25/2012,1,1,2,12,0,6,0,1,0.32,0.2727,0.29,0.6567,41,217,258
1328,2/25/2012,1,1,2,13,0,6,0,1,0.32,0.2879,0.31,0.4925,48,178,226
1329,2/25/2012,1,1,2,14,0,6,0,1,0.32,0.2727,0.29,0.5522,35,181,216
1330,2/25/2012,1,1,2,15,0,6,0,1,0.32,0.2879,0.29,0.4179,21,211,232
1331,2/25/2012,1,1,2,16,0,6,0,1,0.32,0.2727,0.26,0.5821,32,163,195
1332,2/25/2012,1,1,2,17,0,6,0,1,0.3,0.2727,0.33,0.3582,16,143,159
1333,2/25/2012,1,1,2,18,0,6,0,1,0.3,0.2576,0.28,0.5821,7,126,133
1334,2/25/2012,1,1,2,19,0,6,0,1,0.26,0.2121,0.33,0.4478,12,137,149
1335,2/25/2012,1,1,2,20,0,6,0,1,0.26,0.2121,0.3,0.5522,10,95,105
1336,2/25/2012,1,1,2,21,0,6,0,1,0.24,0.2121,0.35,0.3284,5,80,85
1337,2/25/2012,1,1,2,22,0,6,0,1,0.24,0.197,0.38,0.4627,4,78,82
1338,2/25/2012,1,1,2,23,0,6,0,1,0.24,0.197,0.41,0.4179,7,84,91
1339,2/26/2012,1,1,2,0,0,0,0,1,0.24,0.2121,0.41,0.3582,7,63,70
1340,2/26/2012,1,1,2,1,0,0,0,1,0.24,0.2121,0.44,0.3284,5,50,55
1341,2/26/2012,1,1,2,2,0,0,0,1,0.24,0.2121,0.44,0.3284,5,37,42
1342,2/26/2012,1,1,2,3,0,0,0,1,0.24,0.2273,0.41,0.194,0,21,21
1343,2/26/2012,1,1,2,4,0,0,0,1,0.24,0.2273,0.41,0.194,1,5,6
1344,2/26/2012,1,1,2,5,0,0,0,1,0.22,0.2121,0.44,0.2239,0,5,5
1345,2/26/2012,1,1,2,6,0,0,0,1,0.22,0.197,0.44,0.3284,0,2,2
1346,2/26/2012,1,1,2,7,0,0,0,1,0.2,0.1818,0.51,0.2985,2,20,22
1347,2/26/2012,1,1,2,8,0,0,0,1,0.2,0.197,0.51,0.2537,2,57,59
1348,2/26/2012,1,1,2,9,0,0,0,1,0.22,0.2121,0.47,0.2239,11,76,87
1349,2/26/2012,1,1,2,10,0,0,0,1,0.26,0.2576,0.41,0.1642,27,161,188
1350,2/26/2012,1,1,2,11,0,0,0,1,0.28,0.2576,0.41,0.2836,43,184,227
1351,2/26/2012,1,1,2,12,0,0,0,1,0.3,0.303,0.39,0.1343,49,256,305
1352,2/26/2012,1,1,2,13,0,0,0,1,0.32,0.3333,0.36,0,58,267,325
1353,2/26/2012,1,1,2,14,0,0,0,1,0.34,0.3485,0.31,0,68,263,331
1354,2/26/2012,1,1,2,15,0,0,0,1,0.36,0.3485,0.29,0,72,281,353
1355,2/26/2012,1,1,2,16,0,0,0,1,0.36,0.3333,0.32,0.2537,64,275,339
1356,2/26/2012,1,1,2,17,0,0,0,1,0.36,0.3485,0.32,0.2239,46,241,287
1357,2/26/2012,1,1,2,18,0,0,0,1,0.34,0.3182,0.36,0.2836,17,199,216
1358,2/26/2012,1,1,2,19,0,0,0,1,0.34,0.3333,0.34,0.1642,13,130,143
1359,2/26/2012,1,1,2,20,0,0,0,1,0.32,0.3182,0.42,0.1642,9,79,88
1360,2/26/2012,1,1,2,21,0,0,0,1,0.3,0.303,0.45,0.1343,8,75,83
1361,2/26/2012,1,1,2,22,0,0,0,1,0.3,0.2879,0.42,0.2239,3,68,71
1362,2/26/2012,1,1,2,23,0,0,0,1,0.26,0.2576,0.56,0.1642,5,59,64
1363,2/27/2012,1,1,2,0,0,1,1,1,0.26,0.2424,0.6,0.2537,2,27,29
1364,2/27/2012,1,1,2,1,0,1,1,1,0.26,0.2576,0.65,0.2239,0,6,6
1365,2/27/2012,1,1,2,2,0,1,1,1,0.26,0.2273,0.7,0.2985,0,4,4
1366,2/27/2012,1,1,2,3,0,1,1,1,0.24,0.2424,0.75,0.1642,0,2,2
1367,2/27/2012,1,1,2,4,0,1,1,1,0.22,0.2273,0.8,0.1343,0,1,1
1368,2/27/2012,1,1,2,5,0,1,1,1,0.22,0.2273,0.8,0.1343,0,16,16
1369,2/27/2012,1,1,2,6,0,1,1,1,0.24,0.2273,0.7,0.2537,1,89,90
1370,2/27/2012,1,1,2,7,0,1,1,1,0.24,0.2273,0.6,0.2239,2,278,280
1371,2/27/2012,1,1,2,8,0,1,1,1,0.24,0.2424,0.6,0,14,514,528
1372,2/27/2012,1,1,2,9,0,1,1,1,0.26,0.2576,0.6,0.194,11,219,230
1373,2/27/2012,1,1,2,10,0,1,1,1,0.32,0.303,0.45,0.2537,16,88,104
1374,2/27/2012,1,1,2,11,0,1,1,1,0.36,0.3333,0.43,0.2537,11,92,103
1375,2/27/2012,1,1,2,12,0,1,1,1,0.4,0.4091,0.37,0.2985,13,164,177
1376,2/27/2012,1,1,2,13,0,1,1,1,0.4,0.4091,0.43,0.2836,23,159,182
1377,2/27/2012,1,1,2,14,0,1,1,1,0.46,0.4545,0.36,0.2836,24,134,158
1378,2/27/2012,1,1,2,15,0,1,1,1,0.52,0.5,0.25,0.4179,24,150,174
1379,2/27/2012,1,1,2,16,0,1,1,1,0.54,0.5152,0.26,0.4478,20,266,286
1380,2/27/2012,1,1,2,17,0,1,1,1,0.54,0.5152,0.24,0.4478,26,503,529
1381,2/27/2012,1,1,2,18,0,1,1,1,0.52,0.5,0.27,0.4179,10,517,527
1382,2/27/2012,1,1,2,19,0,1,1,1,0.5,0.4848,0.29,0.3881,16,318,334
1383,2/27/2012,1,1,2,20,0,1,1,1,0.48,0.4697,0.33,0.3582,11,208,219
1384,2/27/2012,1,1,2,21,0,1,1,1,0.46,0.4545,0.36,0.2836,14,181,195
1385,2/27/2012,1,1,2,22,0,1,1,1,0.44,0.4394,0.44,0.2537,9,83,92
1386,2/27/2012,1,1,2,23,0,1,1,1,0.42,0.4242,0.5,0.1642,6,50,56
1387,2/28/2012,1,1,2,0,0,2,1,1,0.42,0.4242,0.54,0.1343,0,10,10
1388,2/28/2012,1,1,2,1,0,2,1,1,0.38,0.3939,0.62,0.1642,0,6,6
1389,2/28/2012,1,1,2,2,0,2,1,1,0.4,0.4091,0.54,0.1045,1,2,3
1390,2/28/2012,1,1,2,3,0,2,1,1,0.4,0.4091,0.32,0.3582,0,6,6
1391,2/28/2012,1,1,2,4,0,2,1,1,0.32,0.2879,0.42,0.3582,0,2,2
1392,2/28/2012,1,1,2,5,0,2,1,1,0.32,0.2879,0.42,0.3582,1,20,21
1393,2/28/2012,1,1,2,6,0,2,1,1,0.3,0.2727,0.45,0.3284,1,100,101
1394,2/28/2012,1,1,2,7,0,2,1,1,0.28,0.2576,0.45,0.2985,12,313,325
1395,2/28/2012,1,1,2,8,0,2,1,1,0.26,0.2424,0.48,0.2836,16,543,559
1396,2/28/2012,1,1,2,9,0,2,1,1,0.28,0.2576,0.45,0.3582,7,225,232
1397,2/28/2012,1,1,2,10,0,2,1,1,0.3,0.2727,0.42,0.2985,14,118,132
1398,2/28/2012,1,1,2,11,0,2,1,1,0.34,0.3182,0.36,0.2537,8,155,163
1399,2/28/2012,1,1,2,12,0,2,1,1,0.36,0.3485,0.34,0.1343,19,164,183
1400,2/28/2012,1,1,2,13,0,2,1,1,0.36,0.3636,0.32,0.1045,16,174,190
1401,2/28/2012,1,1,2,14,0,2,1,1,0.4,0.4091,0.28,0.1045,13,121,134
1402,2/28/2012,1,1,2,15,0,2,1,1,0.42,0.4242,0.26,0.0896,17,149,166
1403,2/28/2012,1,1,2,16,0,2,1,1,0.42,0.4242,0.28,0.0896,17,270,287
1404,2/28/2012,1,1,2,17,0,2,1,1,0.42,0.4242,0.26,0.0896,33,497,530
1405,2/28/2012,1,1,2,18,0,2,1,1,0.42,0.4242,0.28,0.1642,17,432,449
1406,2/28/2012,1,1,2,19,0,2,1,1,0.42,0.4242,0.26,0,15,291,306
1407,2/28/2012,1,1,2,20,0,2,1,1,0.4,0.4091,0.3,0.1343,2,202,204
1408,2/28/2012,1,1,2,21,0,2,1,1,0.34,0.3485,0.46,0.1045,10,178,188
1409,2/28/2012,1,1,2,22,0,2,1,1,0.34,0.3485,0.46,0.1045,6,95,101
1410,2/28/2012,1,1,2,23,0,2,1,1,0.32,0.303,0.53,0.2239,4,61,65
1411,2/29/2012,1,1,2,0,0,3,1,1,0.32,0.3333,0.53,0.1045,2,30,32
1412,2/29/2012,1,1,2,1,0,3,1,1,0.32,0.3333,0.49,0.1045,0,6,6
1413,2/29/2012,1,1,2,2,0,3,1,1,0.3,0.2879,0.56,0.2239,0,4,4
1414,2/29/2012,1,1,2,3,0,3,1,1,0.28,0.303,0.7,0.0896,0,2,2
1415,2/29/2012,1,1,2,5,0,3,1,1,0.26,0.2879,0.75,0.0896,0,29,29
1416,2/29/2012,1,1,2,6,0,3,1,2,0.28,0.303,0.75,0.0896,4,100,104
1417,2/29/2012,1,1,2,7,0,3,1,2,0.26,0.2727,0.81,0.1343,11,242,253
1418,2/29/2012,1,1,2,8,0,3,1,2,0.28,0.2879,0.75,0.1045,2,114,116
1419,2/29/2012,1,1,2,9,0,3,1,3,0.3,0.303,0.81,0.1642,5,33,38
1420,2/29/2012,1,1,2,10,0,3,1,3,0.3,0.303,0.81,0.1642,0,10,10
1421,2/29/2012,1,1,2,11,0,3,1,3,0.3,0.2879,0.87,0.194,1,9,10
1422,2/29/2012,1,1,2,12,0,3,1,3,0.32,0.303,0.93,0.3284,1,69,70
1423,2/29/2012,1,1,2,13,0,3,1,2,0.36,0.3333,0.93,0.3582,4,72,76
1424,2/29/2012,1,1,2,14,0,3,1,2,0.36,0.3333,0.93,0.3582,2,54,56
1425,2/29/2012,1,1,2,15,0,3,1,2,0.4,0.4091,0.82,0.2836,3,87,90
1426,2/29/2012,1,1,2,16,0,3,1,3,0.4,0.4091,0.82,0.2239,5,162,167
1427,2/29/2012,1,1,2,17,0,3,1,2,0.4,0.4091,0.87,0.1642,7,246,253
1428,2/29/2012,1,1,2,18,0,3,1,3,0.4,0.4091,0.87,0,11,181,192
1429,2/29/2012,1,1,2,19,0,3,1,2,0.4,0.4091,0.87,0.1045,0,102,102
1430,2/29/2012,1,1,2,20,0,3,1,3,0.42,0.4242,0.88,0.1642,2,95,97
1431,2/29/2012,1,1,2,21,0,3,1,3,0.42,0.4242,0.88,0.1642,0,39,39
1432,2/29/2012,1,1,2,22,0,3,1,3,0.42,0.4242,0.94,0.2537,2,53,55
1433,2/29/2012,1,1,2,23,0,3,1,3,0.42,0.4242,0.94,0.2537,3,30,33
1434,3/1/2012,1,1,3,0,0,4,1,2,0.42,0.4242,0.94,0,1,10,11
1435,3/1/2012,1,1,3,1,0,4,1,3,0.46,0.4545,0.94,0.1045,0,12,12
1436,3/1/2012,1,1,3,2,0,4,1,2,0.46,0.4545,0.94,0.2836,0,6,6
1437,3/1/2012,1,1,3,3,0,4,1,1,0.46,0.4545,0.94,0.2239,0,3,3
1438,3/1/2012,1,1,3,4,0,4,1,1,0.48,0.4697,0.88,0.194,0,5,5
1439,3/1/2012,1,1,3,5,0,4,1,1,0.48,0.4697,0.88,0.1642,0,18,18
1440,3/1/2012,1,1,3,6,0,4,1,2,0.42,0.4242,0.94,0,2,107,109
1441,3/1/2012,1,1,3,7,0,4,1,2,0.44,0.4394,0.94,0.1343,8,296,304
1442,3/1/2012,1,1,3,8,0,4,1,1,0.42,0.4242,0.94,0.1343,15,579,594
1443,3/1/2012,1,1,3,9,0,4,1,1,0.46,0.4545,0.77,0.2537,5,281,286
1444,3/1/2012,1,1,3,10,0,4,1,1,0.52,0.5,0.55,0.1642,11,122,133
1445,3/1/2012,1,1,3,11,0,4,1,1,0.56,0.5303,0.43,0.194,19,149,168
1446,3/1/2012,1,1,3,12,0,4,1,1,0.56,0.5303,0.37,0.2239,16,204,220
1447,3/1/2012,1,1,3,13,0,4,1,1,0.58,0.5455,0.32,0.2537,24,187,211
1448,3/1/2012,1,1,3,14,0,4,1,1,0.58,0.5455,0.35,0.2239,37,174,211
1449,3/1/2012,1,1,3,15,0,4,1,1,0.6,0.6212,0.31,0.2537,31,192,223
1450,3/1/2012,1,1,3,16,0,4,1,1,0.58,0.5455,0.32,0.2985,38,323,361
1451,3/1/2012,1,1,3,17,0,4,1,1,0.56,0.5303,0.35,0.2985,49,551,600
1452,3/1/2012,1,1,3,18,0,4,1,1,0.54,0.5152,0.34,0.3582,27,498,525
1453,3/1/2012,1,1,3,19,0,4,1,1,0.48,0.4697,0.41,0.3284,11,317,328
1454,3/1/2012,1,1,3,20,0,4,1,1,0.44,0.4394,0.44,0.4179,12,242,254
1455,3/1/2012,1,1,3,21,0,4,1,1,0.42,0.4242,0.47,0.4627,7,190,197
1456,3/1/2012,1,1,3,22,0,4,1,1,0.38,0.3939,0.5,0.2537,3,123,126
1457,3/1/2012,1,1,3,23,0,4,1,1,0.36,0.3485,0.5,0.2239,9,76,85
1458,3/2/2012,1,1,3,0,0,5,1,1,0.34,0.3333,0.53,0.1642,1,45,46
1459,3/2/2012,1,1,3,1,0,5,1,1,0.34,0.3182,0.49,0.2239,2,18,20
1460,3/2/2012,1,1,3,2,0,5,1,1,0.34,0.3182,0.53,0.2836,2,4,6
1461,3/2/2012,1,1,3,3,0,5,1,1,0.32,0.3182,0.57,0.194,0,3,3
1462,3/2/2012,1,1,3,4,0,5,1,1,0.32,0.3485,0.61,0,0,2,2
1463,3/2/2012,1,1,3,5,0,5,1,1,0.3,0.3333,0.7,0,0,24,24
1464,3/2/2012,1,1,3,6,0,5,1,1,0.3,0.3333,0.7,0,4,88,92
1465,3/2/2012,1,1,3,7,0,5,1,1,0.3,0.3333,0.7,0,4,258,262
1466,3/2/2012,1,1,3,8,0,5,1,1,0.28,0.303,0.75,0.0896,16,533,549
1467,3/2/2012,1,1,3,9,0,5,1,1,0.3,0.3333,0.81,0,15,299,314
1468,3/2/2012,1,1,3,10,0,5,1,1,0.36,0.3485,0.5,0.1642,14,118,132
1469,3/2/2012,1,1,3,11,0,5,1,1,0.38,0.3939,0.46,0.194,40,154,194
1470,3/2/2012,1,1,3,12,0,5,1,1,0.4,0.4091,0.43,0.1642,40,194,234
1471,3/2/2012,1,1,3,13,0,5,1,1,0.42,0.4242,0.44,0.2239,31,191,222
1472,3/2/2012,1,1,3,14,0,5,1,2,0.44,0.4394,0.44,0.2836,29,176,205
1473,3/2/2012,1,1,3,15,0,5,1,2,0.42,0.4242,0.5,0.2985,5,73,78
1474,3/2/2012,1,1,3,16,0,5,1,3,0.4,0.4091,0.58,0.2985,1,49,50
1475,3/2/2012,1,1,3,17,0,5,1,3,0.36,0.3485,0.81,0.2239,5,123,128
1476,3/2/2012,1,1,3,18,0,5,1,3,0.36,0.3485,0.87,0.194,6,154,160
1477,3/2/2012,1,1,3,19,0,5,1,3,0.36,0.3485,0.87,0.194,12,162,174
1478,3/2/2012,1,1,3,20,0,5,1,2,0.36,0.3485,0.87,0.194,7,93,100
1479,3/2/2012,1,1,3,21,0,5,1,3,0.36,0.3636,0.87,0.0896,2,99,101
1480,3/2/2012,1,1,3,22,0,5,1,2,0.36,0.3788,0.87,0,6,69,75
1481,3/2/2012,1,1,3,23,0,5,1,2,0.36,0.3788,0.87,0,4,19,23
1482,3/3/2012,1,1,3,0,0,6,0,3,0.36,0.3636,0.93,0.0896,1,21,22
1483,3/3/2012,1,1,3,1,0,6,0,3,0.36,0.3788,0.93,0,0,44,44
1484,3/3/2012,1,1,3,2,0,6,0,3,0.36,0.3636,0.93,0.0896,4,34,38
1485,3/3/2012,1,1,3,3,0,6,0,2,0.36,0.3485,0.93,0.1642,1,20,21
1486,3/3/2012,1,1,3,4,0,6,0,2,0.36,0.3485,0.93,0.194,0,2,2
1487,3/3/2012,1,1,3,5,0,6,0,2,0.36,0.3636,0.93,0.0896,1,1,2
1488,3/3/2012,1,1,3,6,0,6,0,2,0.36,0.3636,0.93,0.0896,1,6,7
1489,3/3/2012,1,1,3,7,0,6,0,2,0.36,0.3485,0.93,0.1343,2,14,16
1490,3/3/2012,1,1,3,8,0,6,0,3,0.36,0.3788,0.93,0,2,46,48
1491,3/3/2012,1,1,3,9,0,6,0,3,0.38,0.3939,0.87,0.0896,7,87,94
1492,3/3/2012,1,1,3,10,0,6,0,2,0.4,0.4091,0.87,0,31,137,168
1493,3/3/2012,1,1,3,11,0,6,0,2,0.4,0.4091,0.87,0.0896,33,181,214
1494,3/3/2012,1,1,3,12,0,6,0,2,0.42,0.4242,0.67,0.2537,47,252,299
1495,3/3/2012,1,1,3,13,0,6,0,1,0.44,0.4394,0.51,0.2836,87,252,339
1496,3/3/2012,1,1,3,14,0,6,0,2,0.46,0.4545,0.44,0.3582,151,279,430
1497,3/3/2012,1,1,3,15,0,6,0,1,0.48,0.4697,0.29,0.2985,145,254,399
1498,3/3/2012,1,1,3,16,0,6,0,1,0.5,0.4848,0.27,0.2985,167,300,467
1499,3/3/2012,1,1,3,17,0,6,0,1,0.5,0.4848,0.23,0.3284,106,279,385
1500,3/3/2012,1,1,3,18,0,6,0,1,0.5,0.4848,0.25,0.2537,53,250,303
1501,3/3/2012,1,1,3,19,0,6,0,1,0.46,0.4545,0.33,0.1642,34,191,225
1502,3/3/2012,1,1,3,20,0,6,0,1,0.44,0.4394,0.3,0.1343,28,121,149
1503,3/3/2012,1,1,3,21,0,6,0,1,0.46,0.4545,0.19,0.3284,24,130,154
1504,3/3/2012,1,1,3,22,0,6,0,1,0.44,0.4394,0.21,0.1343,19,115,134
1505,3/3/2012,1,1,3,23,0,6,0,1,0.42,0.4242,0.24,0,12,94,106
1506,3/4/2012,1,1,3,0,0,0,0,2,0.4,0.4091,0.3,0.3582,5,67,72
1507,3/4/2012,1,1,3,1,0,0,0,2,0.38,0.3939,0.34,0.194,16,60,76
1508,3/4/2012,1,1,3,2,0,0,0,2,0.36,0.3485,0.4,0.1642,14,66,80
1509,3/4/2012,1,1,3,3,0,0,0,2,0.36,0.3485,0.43,0.1343,5,21,26
1510,3/4/2012,1,1,3,4,0,0,0,2,0.34,0.3333,0.46,0.194,3,11,14
1511,3/4/2012,1,1,3,5,0,0,0,2,0.34,0.3182,0.46,0.2239,0,5,5
1512,3/4/2012,1,1,3,6,0,0,0,2,0.3,0.2727,0.52,0.2985,0,5,5
1513,3/4/2012,1,1,3,7,0,0,0,2,0.3,0.2727,0.52,0.2985,2,21,23
1514,3/4/2012,1,1,3,8,0,0,0,1,0.3,0.2727,0.52,0.3284,12,54,66
1515,3/4/2012,1,1,3,9,0,0,0,1,0.3,0.2727,0.49,0.4478,14,104,118
1516,3/4/2012,1,1,3,10,0,0,0,1,0.3,0.2727,0.49,0.3284,31,161,192
1517,3/4/2012,1,1,3,11,0,0,0,1,0.32,0.2879,0.45,0.3881,64,192,256
1518,3/4/2012,1,1,3,12,0,0,0,1,0.34,0.303,0.42,0.3582,71,256,327
1519,3/4/2012,1,1,3,13,0,0,0,1,0.36,0.3333,0.37,0.3582,108,256,364
1520,3/4/2012,1,1,3,14,0,0,0,1,0.36,0.3333,0.34,0.3582,106,226,332
1521,3/4/2012,1,1,3,15,0,0,0,1,0.36,0.3182,0.32,0.5224,82,252,334
1522,3/4/2012,1,1,3,16,0,0,0,1,0.36,0.3182,0.29,0.4925,68,231,299
1523,3/4/2012,1,1,3,17,0,0,0,1,0.34,0.2879,0.31,0.5522,49,214,263
1524,3/4/2012,1,1,3,18,0,0,0,1,0.32,0.2727,0.33,0.6119,20,164,184
1525,3/4/2012,1,1,3,19,0,0,0,1,0.3,0.2576,0.36,0.4925,12,120,132
1526,3/4/2012,1,1,3,20,0,0,0,1,0.28,0.2727,0.38,0.2537,8,80,88
1527,3/4/2012,1,1,3,21,0,0,0,1,0.28,0.2727,0.36,0.2239,9,70,79
1528,3/4/2012,1,1,3,22,0,0,0,1,0.26,0.2424,0.41,0.2537,9,53,62
1529,3/4/2012,1,1,3,23,0,0,0,1,0.26,0.2576,0.41,0.194,2,24,26
1530,3/5/2012,1,1,3,0,0,1,1,1,0.24,0.2273,0.44,0.194,2,15,17
1531,3/5/2012,1,1,3,1,0,1,1,1,0.24,0.2424,0.48,0.1343,3,3,6
1532,3/5/2012,1,1,3,2,0,1,1,1,0.24,0.2424,0.48,0.1343,1,3,4
1533,3/5/2012,1,1,3,3,0,1,1,1,0.22,0.2273,0.51,0.1642,0,1,1
1534,3/5/2012,1,1,3,4,0,1,1,1,0.2,0.2273,0.55,0.0896,0,1,1
1535,3/5/2012,1,1,3,5,0,1,1,1,0.2,0.2273,0.55,0.0896,1,17,18
1536,3/5/2012,1,1,3,6,0,1,1,1,0.18,0.197,0.59,0.1343,2,89,91
1537,3/5/2012,1,1,3,7,0,1,1,1,0.18,0.197,0.59,0.1343,7,253,260
1538,3/5/2012,1,1,3,8,0,1,1,1,0.2,0.2273,0.59,0.1045,13,415,428
1539,3/5/2012,1,1,3,9,0,1,1,2,0.22,0.2576,0.6,0.0896,11,186,197
1540,3/5/2012,1,1,3,10,0,1,1,2,0.24,0.2576,0.6,0,12,74,86
1541,3/5/2012,1,1,3,11,0,1,1,2,0.26,0.2727,0.56,0.1343,17,86,103
1542,3/5/2012,1,1,3,12,0,1,1,2,0.26,0.303,0.52,0,15,122,137
1543,3/5/2012,1,1,3,13,0,1,1,2,0.26,0.2576,0.55,0.2985,11,109,120
1544,3/5/2012,1,1,3,14,0,1,1,2,0.28,0.2576,0.57,0.3582,13,115,128
1545,3/5/2012,1,1,3,15,0,1,1,2,0.3,0.2879,0.53,0.194,20,110,130
1546,3/5/2012,1,1,3,16,0,1,1,1,0.3,0.2727,0.45,0.2985,30,180,210
1547,3/5/2012,1,1,3,17,0,1,1,3,0.3,0.2727,0.45,0.2985,11,376,387
1548,3/5/2012,1,1,3,18,0,1,1,3,0.28,0.2273,0.55,0.6567,12,363,375
1549,3/5/2012,1,1,3,19,0,1,1,1,0.26,0.2576,0.53,0.2239,6,220,226
1550,3/5/2012,1,1,3,20,0,1,1,1,0.26,0.2273,0.37,0.4627,8,171,179
1551,3/5/2012,1,1,3,21,0,1,1,1,0.26,0.2273,0.37,0.3881,4,116,120
1552,3/5/2012,1,1,3,22,0,1,1,1,0.24,0.2121,0.35,0.3284,2,76,78
1553,3/5/2012,1,1,3,23,0,1,1,1,0.22,0.1818,0.37,0.5821,2,29,31
1554,3/6/2012,1,1,3,0,0,2,1,1,0.22,0.2121,0.37,0.2985,0,8,8
1555,3/6/2012,1,1,3,1,0,2,1,1,0.2,0.197,0.44,0.2537,0,6,6
1556,3/6/2012,1,1,3,2,0,2,1,1,0.2,0.197,0.44,0.2239,0,4,4
1557,3/6/2012,1,1,3,3,0,2,1,1,0.18,0.1667,0.51,0.2836,0,1,1
1558,3/6/2012,1,1,3,4,0,2,1,1,0.18,0.1667,0.51,0.2985,0,3,3
1559,3/6/2012,1,1,3,5,0,2,1,1,0.18,0.1818,0.51,0.2239,0,25,25
1560,3/6/2012,1,1,3,6,0,2,1,1,0.18,0.2121,0.51,0.1045,3,99,102
1561,3/6/2012,1,1,3,7,0,2,1,1,0.16,0.1818,0.55,0.1343,5,270,275
1562,3/6/2012,1,1,3,8,0,2,1,1,0.16,0.1818,0.59,0.1045,14,487,501
1563,3/6/2012,1,1,3,9,0,2,1,1,0.22,0.2727,0.47,0,11,222,233
1564,3/6/2012,1,1,3,10,0,2,1,1,0.24,0.2576,0.44,0,16,113,129
1565,3/6/2012,1,1,3,11,0,2,1,1,0.26,0.2576,0.41,0.1642,20,110,130
1566,3/6/2012,1,1,3,12,0,2,1,1,0.26,0.2727,0.41,0.1045,9,129,138
1567,3/6/2012,1,1,3,13,0,2,1,1,0.3,0.303,0.39,0.1343,16,148,164
1568,3/6/2012,1,1,3,14,0,2,1,1,0.32,0.303,0.36,0.2239,20,116,136
1569,3/6/2012,1,1,3,15,0,2,1,1,0.34,0.303,0.36,0.2985,24,142,166
1570,3/6/2012,1,1,3,16,0,2,1,1,0.36,0.3333,0.32,0.2836,22,228,250
1571,3/6/2012,1,1,3,17,0,2,1,1,0.36,0.3333,0.34,0.2836,21,425,446
1572,3/6/2012,1,1,3,18,0,2,1,1,0.34,0.303,0.42,0.3284,15,442,457
1573,3/6/2012,1,1,3,19,0,2,1,1,0.34,0.303,0.46,0.2985,9,278,287
1574,3/6/2012,1,1,3,20,0,2,1,1,0.32,0.3182,0.49,0.194,3,184,187
1575,3/6/2012,1,1,3,21,0,2,1,1,0.32,0.3182,0.49,0.194,5,143,148
1576,3/6/2012,1,1,3,22,0,2,1,1,0.28,0.2727,0.56,0.1642,5,101,106
1577,3/6/2012,1,1,3,23,0,2,1,1,0.28,0.2727,0.61,0.2239,3,51,54
1578,3/7/2012,1,1,3,0,0,3,1,1,0.28,0.2576,0.65,0.2836,3,12,15
1579,3/7/2012,1,1,3,1,0,3,1,1,0.3,0.2727,0.61,0.2985,1,4,5
1580,3/7/2012,1,1,3,2,0,3,1,1,0.3,0.2879,0.56,0.2836,0,4,4
1581,3/7/2012,1,1,3,3,0,3,1,1,0.3,0.2727,0.56,0.3582,1,2,3
1582,3/7/2012,1,1,3,4,0,3,1,1,0.28,0.2576,0.61,0.3284,0,3,3
1583,3/7/2012,1,1,3,5,0,3,1,1,0.28,0.2576,0.56,0.2985,0,18,18
1584,3/7/2012,1,1,3,6,0,3,1,1,0.28,0.2576,0.61,0.3881,4,104,108
1585,3/7/2012,1,1,3,7,0,3,1,1,0.26,0.2273,0.65,0.3881,12,332,344
1586,3/7/2012,1,1,3,8,0,3,1,1,0.28,0.2576,0.61,0.2985,12,554,566
1587,3/7/2012,1,1,3,9,0,3,1,1,0.3,0.2727,0.61,0.3284,12,252,264
1588,3/7/2012,1,1,3,10,0,3,1,1,0.36,0.3333,0.5,0.2985,20,127,147
1589,3/7/2012,1,1,3,11,0,3,1,1,0.42,0.4242,0.38,0.2985,33,128,161
1590,3/7/2012,1,1,3,12,0,3,1,1,0.44,0.4394,0.38,0.3881,40,175,215
1591,3/7/2012,1,1,3,13,0,3,1,1,0.5,0.4848,0.34,0.4179,26,179,205
1592,3/7/2012,1,1,3,14,0,3,1,1,0.52,0.5,0.36,0.3284,38,137,175
1593,3/7/2012,1,1,3,15,0,3,1,1,0.54,0.5152,0.37,0.4478,44,165,209
1594,3/7/2012,1,1,3,16,0,3,1,1,0.56,0.5303,0.37,0.4179,34,254,288
1595,3/7/2012,1,1,3,17,0,3,1,1,0.56,0.5303,0.43,0.4925,58,554,612
1596,3/7/2012,1,1,3,18,0,3,1,1,0.56,0.5303,0.4,0.4627,35,509,544
